,test_loss,layer,residual_cells,exponent,learning_rate,dropout_first,dropout_middle,dropout_last,activation_function,alpha,batch_size,epochs
160,0.003038287950562751,12,0,6,1e-06,0.5,0.0,0.5,elu,1.0,16,200
906,0.003040802961419608,18,1,8,1e-06,0.0,0.0,0.0,elu,1.0,16,200
162,0.0030425064704264018,9,1,6,1e-06,0.2,0.0,0.5,elu,1.0,16,200
163,0.003044936775650074,9,0,6,1e-06,0.5,0.0,0.2,elu,1.0,32,200
164,0.003044936775650074,9,0,6,1e-06,0.5,0.0,0.5,elu,1.0,32,200
165,0.003045916970124914,9,2,8,1e-06,0.5,0.0,0.5,tanh,1.0,32,200
166,0.003061105669635641,9,1,6,1e-06,0.2,0.0,0.2,elu,1.0,16,200
167,0.0030717557016795693,9,1,6,1e-06,0.2,0.2,0.2,elu,1.0,16,1000
168,0.00307252445727148,12,1,8,1e-06,0.5,0.0,0.2,tanh,1.0,16,200
169,0.003078100783642269,12,1,6,1e-06,0.2,0.0,0.5,elu,1.0,16,200
170,0.0030829395447035906,6,1,6,1e-06,0.2,0.2,0.2,elu,1.0,16,1000
171,0.003091484807993248,9,0,6,1e-06,0.5,0.0,0.5,tanh,1.0,16,200
172,0.003091499385470081,9,0,6,1e-06,0.5,0.0,0.2,tanh,1.0,16,200
173,0.003105254560602858,9,2,6,1e-06,0.2,0.0,0.2,tanh,1.0,16,200
174,0.0031157661191319875,12,1,8,1e-06,0.2,0.2,0.5,tanh,1.0,32,200
175,0.003116690691418017,12,1,8,1e-06,0.5,0.0,0.2,elu,1.0,32,200
176,0.0031209921009500642,9,1,8,1e-06,0.5,0.0,0.5,tanh,1.0,16,200
177,0.003128484532907853,12,1,6,1e-06,0.2,0.0,0.2,elu,1.0,16,200
178,0.003129612311587309,9,1,8,1e-06,0.5,0.0,0.2,elu,1.0,32,200
179,0.003129895456643733,12,2,6,1e-06,0.2,0.0,0.5,tanh,1.0,16,200
180,0.003139281727536211,9,2,6,1e-06,0.2,0.0,0.5,tanh,1.0,16,200
182,0.003140599606180405,12,0,8,1e-06,0.2,0.2,0.2,elu,1.0,32,200
181,0.003140599606180405,12,0,8,1e-06,0.2,0.2,0.5,elu,1.0,32,200
183,0.003143043595299158,12,1,8,1e-06,0.5,0.2,0.2,elu,1.0,16,200
184,0.003144575287762752,12,0,6,1e-06,0.5,0.0,0.5,tanh,1.0,16,200
185,0.003144576127648749,12,0,6,1e-06,0.5,0.0,0.2,tanh,1.0,16,200
186,0.003146681710179663,12,1,8,1e-06,0.2,0.2,0.2,tanh,1.0,32,200
187,0.0031503978843084803,9,2,8,1e-06,0.5,0.0,0.2,tanh,1.0,32,200
188,0.0031546373759395287,12,1,8,1e-06,0.5,0.2,0.5,elu,1.0,16,200
189,0.003157475861498777,12,2,8,1e-06,0.5,0.2,0.5,elu,1.0,32,200
190,0.00315852091412986,9,1,8,1e-06,0.5,0.0,0.2,tanh,1.0,16,200
191,0.0031714147688481297,12,2,6,1e-06,0.2,0.0,0.2,tanh,1.0,16,200
192,0.003174518130029751,12,2,8,1e-06,0.5,0.0,0.2,tanh,1.0,32,200
193,0.0031747672121439532,12,1,6,1e-06,0.2,0.0,0.5,tanh,1.0,16,200
194,0.003180860139618585,9,2,6,1e-06,0.2,0.0,0.2,elu,1.0,32,200
195,0.003182351096931307,12,2,8,1e-06,0.5,0.2,0.2,elu,1.0,32,200
196,0.00318398580244172,9,1,8,1e-06,0.5,0.2,0.5,elu,1.0,16,200
198,0.0031847818999438337,12,0,6,1e-06,0.5,0.0,0.5,elu,1.0,32,200
197,0.0031847818999438337,12,0,6,1e-06,0.5,0.0,0.2,elu,1.0,32,200
199,0.003185522810573382,9,1,8,1e-06,0.5,0.2,0.2,elu,1.0,16,200
200,0.003195480325300766,9,2,8,1e-06,0.5,0.2,0.2,elu,1.0,32,200
201,0.003198625240447318,12,2,6,1e-06,0.2,0.0,0.2,elu,1.0,32,200
202,0.003199188620720187,9,1,6,1e-06,0.2,0.0,0.2,tanh,1.0,16,200
203,0.00320360608891008,12,2,6,1e-06,0.2,0.0,0.5,elu,1.0,32,200
204,0.0032063543261145397,9,1,6,1e-06,0.2,0.0,0.5,tanh,1.0,16,200
205,0.003206737942851151,12,2,6,1e-06,0.5,0.0,0.2,elu,1.0,16,200
206,0.003213399321165571,9,2,8,1e-06,0.5,0.2,0.5,elu,1.0,32,200
207,0.003222674053463308,9,1,8,1e-06,0.2,0.2,0.5,tanh,1.0,32,200
907,0.003228368418381061,34,2,8,1e-06,0.0,0.0,0.0,elu,1.0,16,200
208,0.00323242382205266,12,2,6,1e-06,0.5,0.0,0.5,elu,1.0,16,200
209,0.0032367429944752863,9,2,6,1e-06,0.5,0.0,0.2,elu,1.0,16,200
211,0.003238228525739217,12,0,8,1e-06,0.5,0.2,0.2,elu,1.0,16,200
210,0.003238228525739217,12,0,8,1e-06,0.5,0.2,0.5,elu,1.0,16,200
212,0.0032423261990175947,9,1,8,1e-06,0.2,0.2,0.2,tanh,1.0,32,200
213,0.003242874962057375,12,1,8,1e-06,0.5,0.0,0.5,tanh,1.0,32,200
214,0.0032432610963335487,12,1,8,1e-06,0.2,0.5,0.2,elu,1.0,16,200
216,0.0032556420121196018,9,0,8,1e-06,0.2,0.2,0.2,elu,1.0,32,200
215,0.0032556420121196018,9,0,8,1e-06,0.2,0.2,0.5,elu,1.0,32,200
217,0.003261032864756032,12,1,8,1e-06,0.2,0.5,0.5,elu,1.0,16,200
219,0.003262285834768005,9,0,6,1e-06,0.5,0.0,0.2,tanh,1.0,32,200
218,0.003262285834768005,9,0,6,1e-06,0.5,0.0,0.5,tanh,1.0,32,200
220,0.003275558499925982,9,1,8,1e-06,0.2,0.5,0.5,elu,1.0,16,200
221,0.0032818034903308664,12,1,6,1e-06,0.2,0.0,0.2,tanh,1.0,16,200
222,0.0032824104612235072,12,1,8,1e-06,0.5,0.0,0.2,tanh,1.0,32,200
223,0.0032854955939995607,9,1,8,1e-06,0.2,0.5,0.2,elu,1.0,16,200
224,0.003287058315480425,9,2,6,1e-06,0.5,0.0,0.5,elu,1.0,16,200
225,0.0032870928712969787,9,2,6,1e-06,0.2,0.0,0.5,elu,1.0,32,200
226,0.0032881556547589585,12,2,8,1e-06,0.2,0.2,0.5,tanh,1.0,32,200
227,0.0032899132709027705,12,1,8,1e-06,0.5,0.2,0.5,elu,1.0,32,200
228,0.003299458830806384,12,1,8,1e-06,0.5,0.2,0.2,elu,1.0,32,200
229,0.0033180800507077064,9,2,8,1e-06,0.2,0.2,0.5,tanh,1.0,32,200
230,0.003319884242018102,9,0,6,1e-06,0.2,0.2,0.2,elu,1.0,16,1000
231,0.0033263649451867904,9,1,8,1e-06,0.5,0.0,0.5,tanh,1.0,32,200
232,0.003328470083876243,12,0,6,1e-06,0.5,0.0,0.2,tanh,1.0,32,200
233,0.003328470083876243,12,0,6,1e-06,0.5,0.0,0.5,tanh,1.0,32,200
908,0.0033509855283200066,12,1,8,1e-06,0.0,0.0,0.0,elu,1.0,16,200
234,0.0033519847317106874,9,2,8,1e-06,0.2,0.2,0.2,tanh,1.0,32,200
235,0.003362284616698074,9,1,6,1e-06,0.5,0.0,0.2,elu,1.0,16,200
236,0.003365250386021413,9,1,6,1e-06,0.2,0.0,0.2,elu,1.0,32,200
238,0.003372304790194004,12,0,8,1e-06,0.2,0.0,0.5,rbf,1.0,16,200
237,0.003372304790194004,12,0,8,1e-06,0.2,0.0,0.2,rbf,1.0,16,200
239,0.0033762869837731906,9,2,6,1e-06,0.5,0.0,0.2,tanh,1.0,16,200
240,0.003382017959997636,12,2,8,1e-06,0.2,0.2,0.2,tanh,1.0,32,200
241,0.0033969064951372197,9,1,8,1e-06,0.5,0.2,0.2,elu,1.0,32,200
242,0.0033974695612188693,9,1,8,1e-06,0.5,0.2,0.5,elu,1.0,32,200
244,0.0034071071447132,9,0,8,1e-06,0.2,0.0,0.5,rbf,1.0,16,200
243,0.0034071071447132,9,0,8,1e-06,0.2,0.0,0.2,rbf,1.0,16,200
245,0.003413481905876555,9,1,6,1e-06,0.2,0.0,0.5,elu,1.0,32,200
246,0.003416361081924089,12,1,8,1e-06,0.2,0.5,0.2,tanh,1.0,16,200
247,0.003419286224502809,12,1,6,1e-06,0.2,0.0,0.2,elu,1.0,32,200
248,0.0034284713707429717,12,1,6,1e-06,0.5,0.0,0.2,elu,1.0,16,200
249,0.0034310629851919665,9,2,6,1e-06,0.5,0.0,0.5,tanh,1.0,16,200
250,0.003437782891855428,9,2,6,1e-06,0.2,0.0,0.2,tanh,1.0,32,200
251,0.0034401029157595355,12,2,6,1e-06,0.2,0.2,0.2,elu,1.0,16,200
252,0.0034403578220761322,12,2,6,1e-06,0.5,0.0,0.2,tanh,1.0,16,200
253,0.003442297126264181,9,1,6,1e-06,0.5,0.0,0.5,elu,1.0,16,200
254,0.0034488541916820213,9,1,8,1e-06,0.5,0.0,0.2,tanh,1.0,32,200
255,0.0034527108969693164,9,2,6,1e-06,0.2,0.2,0.2,elu,1.0,16,200
256,0.003456951195334693,12,1,8,1e-06,0.2,0.5,0.5,tanh,1.0,16,200
257,0.0034737035229486703,12,2,6,1e-06,0.5,0.0,0.2,elu,1.0,32,200
258,0.003475195684534861,12,1,6,1e-06,0.5,0.0,0.5,elu,1.0,16,200
259,0.003483551583468707,12,1,6,1e-06,0.2,0.0,0.5,elu,1.0,32,200
260,0.0034937441610478877,9,1,8,1e-06,0.2,0.5,0.2,tanh,1.0,16,200
261,0.0034969279931193037,12,1,8,1e-06,0.2,0.5,0.2,elu,1.0,32,200
262,0.003498928202907921,12,1,6,1e-06,0.2,0.2,0.2,elu,1.0,16,200
263,0.003506397718657196,12,1,6,1e-06,0.2,0.0,0.5,tanh,1.0,32,200
264,0.0035077430783877475,12,2,6,1e-06,0.2,0.0,0.2,tanh,1.0,32,200
265,0.0035165176607557425,9,1,6,1e-06,0.2,0.0,0.2,tanh,1.0,32,200
266,0.0035197246316381616,12,1,8,1e-06,0.2,0.5,0.5,elu,1.0,32,200
267,0.003520522258152639,9,0,8,1e-06,0.2,0.2,0.2,tanh,1.0,16,200
268,0.0035205279204040063,9,0,8,1e-06,0.2,0.2,0.5,tanh,1.0,16,200
269,0.0035207795495402257,9,1,8,1e-06,0.2,0.5,0.5,tanh,1.0,16,200
270,0.0035234732239849288,12,2,6,1e-06,0.2,0.0,0.5,tanh,1.0,32,200
271,0.0035239034674654514,12,0,6,1e-06,0.2,0.2,0.2,elu,1.0,16,1000
272,0.0035248024997307967,12,0,8,1e-06,0.2,0.0,0.5,rbf,1.0,32,200
273,0.0035248813262767006,12,1,6,1e-06,0.2,0.0,0.2,tanh,1.0,32,200
274,0.0035250280010991203,12,0,8,1e-06,0.2,0.0,0.2,rbf,1.0,32,200
275,0.003529670352281844,9,1,6,1e-06,0.2,0.0,0.5,tanh,1.0,32,200
277,0.0035302336160012845,9,0,8,1e-06,0.2,0.0,0.5,rbf,1.0,32,200
276,0.0035302336160012845,9,0,8,1e-06,0.2,0.0,0.2,rbf,1.0,32,200
278,0.0035464426462506124,9,2,6,1e-06,0.2,0.0,0.5,tanh,1.0,32,200
279,0.003553750468776988,12,2,6,1e-06,0.2,0.2,0.5,elu,1.0,16,200
280,0.0035571452221170195,9,1,6,1e-06,0.5,0.0,0.2,tanh,1.0,16,200
281,0.003569311321178072,9,2,8,1e-06,0.5,0.2,0.5,tanh,1.0,16,200
282,0.003571999573670393,12,2,6,1e-06,0.5,0.0,0.5,tanh,1.0,16,200
283,0.003576126777454386,9,1,6,1e-06,0.2,0.2,0.2,elu,1.0,16,200
